country,item_name,veg,non_veg,egg,vegan,quantity_type,quantity,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR,category
,Amla Juice,0,0,0,1,ml,100,44.0,0.5,0.2,10.0,0.5,5.0,2.0,0.65,0.59,0.53,27.0,4.75,3.27,65.34,1.01,0.92,0.89,2.44,2.49,beverages
India,Amritsari Fish,0,1,0,0,g,100,230.0,17.0,15.0,7.0,0.5,0.8,340.0,2.97,2.7,2.43,90.0,21.6,14.85,297.0,4.59,4.19,4.05,11.07,11.34,meat
India,Amritsari Kulcha,1,0,0,0,unit,1,220.0,6.0,6.0,34.0,2.0,2.0,220.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Anarsa,0,0,0,1,unit,1,170.0,2.0,6.0,26.0,0.5,13.0,20.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Anchovy,1,0,0,0,g,100,87.72,19.88,0.78,0.0,0.0,0.0,212.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Andhra Chicken Curry,0,1,0,0,g,100,230.0,20.0,14.0,6.0,1.0,1.5,360.0,2.97,2.7,2.43,90.0,21.6,14.85,297.0,4.59,4.19,4.05,11.07,11.34,meat
,Angakar Roti,0,0,0,1,unit,1,130.0,3.0,1.5,26.0,2.5,0.4,15.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Anishi (Fermented Yam Cake),0,0,0,1,g,100,120.0,2.0,2.0,24.0,3.0,1.5,60.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
Austria,Apfelstrudel,1,0,0,0,unit,1,220.0,2.8,10.0,31.0,1.6,15.0,120.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Apong (Rice Beer),0,0,0,1,ml,100,60.0,0.5,0.0,13.0,0.0,2.0,5.0,0.3,0.28,0.25,16.2,2.2,1.51,30.29,0.47,0.43,0.41,1.13,1.16,grains
,Apong-based sweets,1,0,0,0,unit,1,160.0,2.0,4.0,28.0,0.5,12.0,20.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Appam,1,0,0,0,unit,1,120.0,2.0,2.0,23.0,1.0,0.5,90.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Appam with Coconut Milk,0,0,0,1,unit,1,165.0,3.0,5.5,25.0,1.0,1.8,120.0,0.71,0.65,0.58,27.0,5.18,3.56,71.28,1.1,1.0,0.97,2.66,2.72,dairy
,Apple,1,0,0,0,unit,1,60.41,0.33,0.57,9.22,2.31,9.22,1.39,0.33,0.3,0.27,15.0,2.4,1.65,33.0,0.51,0.46,0.45,1.23,1.26,fruits
,Apple Juice,0,0,0,1,ml,100,46.0,0.1,0.1,11.3,0.2,9.6,4.0,0.5,0.45,0.4,22.5,3.6,2.48,49.5,0.76,0.7,0.68,1.84,1.89,fruits
United States,Apple Pie,1,0,0,0,unit,1,237.0,2.4,11.0,34.0,1.7,16.0,170.0,0.33,0.3,0.27,15.0,2.4,1.65,33.0,0.51,0.46,0.45,1.23,1.26,fruits
,Apricot,1,0,0,0,unit,1,186.07,2.32,0.69,39.72,1.95,15.04,2.77,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Arbi Sabzi,0,0,0,1,g,100,140.0,2.0,6.0,20.0,4.0,1.5,130.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Arecanut,1,0,0,0,g,100,316.12,4.99,4.77,59.18,10.06,2.76,11.57,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Ari fish,0,1,0,0,g,100,99.19,22.01,1.11,0.0,0.0,0.0,37.35,2.97,2.7,2.43,90.0,21.6,14.85,297.0,4.59,4.19,4.05,11.07,11.34,meat
India,Ariselu,1,0,0,0,unit,1,180.0,2.0,7.0,28.0,1.0,15.0,18.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Aronia,0,0,0,1,unit,1,47.0,1.4,0.5,9.6,5.3,4.3,1.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
Panama,Arroz con Pollo,0,1,0,0,g,100,170.0,7.8,4.8,22.8,0.9,1.1,260.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Arsa,0,0,0,1,unit,1,150.0,1.5,4.0,28.0,0.5,12.0,20.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Arsa Buhchiar,0,1,0,0,g,100,250.0,17.0,18.0,4.0,0.5,0.8,320.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Asafoetida,1,0,0,0,g,100,331.5,6.34,1.26,37.76,5.13,0.93,16.04,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Asam Kumbang,0,0,0,1,unit,1,65.0,0.8,0.3,15.0,2.5,11.0,2.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Ash gourd,1,0,0,0,g,100,17.45,0.79,0.14,1.2,3.37,0.19,0.77,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Assam Tea,0,0,0,1,ml,100,20.0,0.2,0.0,4.0,0.0,3.5,5.0,0.65,0.59,0.53,27.0,4.75,3.27,65.34,1.01,0.92,0.89,2.44,2.49,beverages
El Salvador,Atol de Elote,1,0,0,0,ml,100,96.0,2.1,1.9,17.8,0.8,8.5,65.0,0.69,0.63,0.57,31.5,5.04,3.46,69.3,1.07,0.98,0.94,2.58,2.65,general
Latvia,Auksta Zupa,1,0,0,0,ml,100,48.0,1.8,2.2,5.1,0.7,2.0,120.0,0.69,0.63,0.57,31.5,5.04,3.46,69.3,1.07,0.98,0.94,2.58,2.65,general
,Avial,1,0,0,0,g,100,120.0,2.5,8.0,10.0,3.0,2.0,150.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Avocado,0,0,0,1,unit,1,160.0,2.0,14.7,8.5,6.7,0.7,7.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Avocado fruit,1,0,0,0,unit,1,144.36,2.95,13.86,1.75,6.69,1.65,2.81,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Awadhi Biryani,0,1,0,0,unit,1,540.0,19.0,21.0,66.0,3.0,3.5,760.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Axone (Fermented Soybean),0,0,0,1,g,100,155.0,12.0,8.0,10.0,3.0,1.0,180.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Açaí,0,0,0,1,unit,1,70.0,1.0,5.0,4.0,2.0,2.0,4.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Baati,0,0,0,1,unit,1,170.0,4.0,4.0,28.0,2.0,1.0,170.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Babru,1,0,0,0,unit,1,180.0,4.0,6.0,25.0,2.0,1.0,140.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
Portugal,Bacalhau a Bras,0,1,0,0,g,100,190.0,12.0,10.0,13.0,1.0,1.2,420.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Bacon,0,1,0,0,g,100,541.0,37.0,42.0,1.4,0.0,0.0,1717.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Badam Milk,1,0,0,0,ml,100,88.0,3.2,4.5,9.0,0.3,8.0,46.0,1.07,0.97,0.87,40.5,7.78,5.35,106.92,1.65,1.51,1.46,3.99,4.08,dairy
,Bael,0,0,0,1,unit,1,88.0,1.8,0.3,21.2,2.9,16.0,5.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bael fruit,1,0,0,0,unit,1,135.99,2.63,0.57,23.55,6.31,16.35,1.56,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bael Juice,0,0,0,1,ml,100,60.0,0.6,0.1,15.0,0.4,12.0,3.0,0.65,0.59,0.53,27.0,4.75,3.27,65.34,1.01,0.92,0.89,2.44,2.49,beverages
India,Bafauri,1,0,0,0,unit,1,90.0,5.0,2.0,14.0,3.0,0.8,80.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Bagara Rice,1,0,0,0,unit,1,320.0,5.0,10.0,50.0,2.0,1.5,250.0,0.2,0.18,0.17,10.8,1.47,1.01,20.2,0.31,0.28,0.28,0.75,0.77,grains
United States,Bagel,1,0,0,0,unit,1,245.0,9.0,1.5,48.0,2.0,5.0,430.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bai,0,0,0,1,g,100,75.0,2.5,2.0,10.0,3.0,1.5,110.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Baingan Bharta,0,0,0,1,g,100,100.0,2.0,5.0,11.0,4.0,3.0,140.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Baingan Masala,0,0,0,1,g,100,120.0,2.5,7.0,11.0,3.0,2.0,150.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Bajji,1,0,0,0,unit,1,120.0,2.0,6.0,14.0,1.2,1.0,145.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bajra,1,0,0,0,g,100,347.99,10.96,5.43,56.02,11.49,0.81,4.11,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Bajra Khichdi,0,0,0,1,unit,1,250.0,7.0,5.0,40.0,4.0,1.0,180.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Bajra Roti,0,0,0,1,unit,1,110.0,3.0,1.0,22.0,2.5,0.4,8.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bakarkhani,1,0,0,0,unit,1,190.0,4.0,7.0,28.0,1.0,4.0,160.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
Greece,Baklava,1,0,0,0,unit,1,170.0,2.4,9.8,18.0,0.8,12.0,45.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Bal Mithai,1,0,0,0,unit,1,170.0,3.0,6.0,24.0,0.5,16.0,35.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Balushahi,1,0,0,0,unit,1,160.0,2.0,7.0,22.0,0.3,14.0,25.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bamboo shoot,1,0,0,0,g,100,16.25,1.33,0.35,0.6,1.55,0.09,1.12,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Bamboo Shoot Curry,0,0,0,1,g,100,90.0,2.0,4.0,11.0,3.0,1.5,140.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Bamboo Shoot Fry,0,0,0,1,g,100,100.0,2.0,5.0,11.0,3.0,1.5,140.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Bamboo Shoots,0,0,0,1,unit,1,27.0,2.6,0.3,5.2,2.2,3.0,4.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Banana,1,0,0,0,unit,1,108.45,1.31,0.32,18.24,2.11,13.91,1.05,0.33,0.3,0.27,15.0,2.4,1.65,33.0,0.51,0.46,0.45,1.23,1.26,fruits
India,Banana Chips,1,0,0,0,g,100,520.0,2.0,34.0,58.0,7.0,3.0,180.0,0.55,0.5,0.45,25.0,4.0,2.75,55.0,0.85,0.78,0.75,2.05,2.1,fruits
United Kingdom,Bangers and Mash,0,1,0,0,g,100,180.0,8.0,10.0,14.0,1.2,1.1,330.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Bangui Rice,0,0,0,1,unit,1,180.0,3.0,0.5,39.0,0.8,0.2,8.0,0.2,0.18,0.17,10.8,1.47,1.01,20.2,0.31,0.28,0.28,0.75,0.77,grains
India,Bara (Vada),1,0,0,0,unit,1,90.0,2.0,5.0,9.0,1.0,0.5,110.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Barley,1,0,0,0,g,100,315.73,10.94,1.3,72.73,15.64,0.06,7.56,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
Australia,Barramundi,0,1,0,0,g,100,124.0,21.0,4.0,0.0,0.0,0.0,85.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Basella leaves,1,0,0,0,g,100,19.6,1.57,0.45,1.69,2.21,0.02,18.74,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Basmati Rice,0,0,0,1,g,100,365.0,7.1,0.7,80.0,1.3,0.1,5.0,0.34,0.31,0.28,18.0,2.45,1.68,33.66,0.52,0.47,0.46,1.25,1.29,grains
,Basundi,1,0,0,0,g,100,225.0,6.0,11.0,26.0,0.0,15.0,70.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Batata Vada,1,0,0,0,unit,1,155.0,3.0,7.0,20.0,2.0,1.5,180.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bathua,0,0,0,1,unit,1,43.0,4.2,0.8,7.3,2.1,0.0,43.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bathua leaves,1,0,0,0,g,100,27.72,2.5,0.44,1.59,4.01,0.52,10.75,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Bathua Raita,1,0,0,0,g,100,80.0,3.0,4.0,7.0,1.5,3.0,120.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Bathua Saag,0,0,0,1,g,100,80.0,3.0,3.0,9.0,3.0,1.2,110.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
United States,BBQ Ribs,0,1,0,0,g,100,320.0,20.0,24.0,6.0,0.0,4.0,480.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,BBQ Sauce,0,0,0,1,ml,100,170.0,1.0,0.3,40.0,1.0,35.0,880.0,0.69,0.63,0.57,31.5,5.04,3.46,69.3,1.07,0.98,0.94,2.58,2.65,general
,Bean scarlet,1,0,0,0,g,100,42.78,2.86,0.99,4.56,4.5,1.03,1.46,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Beans,0,0,0,1,unit,1,31.0,1.8,0.1,7.0,3.4,3.3,6.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Beans Poriyal,0,0,0,1,g,100,90.0,3.0,4.0,11.0,4.0,2.5,110.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Bebinca,1,0,0,0,unit,1,210.0,3.0,8.0,30.0,0.5,18.0,40.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Bedmi Puri,1,0,0,0,unit,1,230.0,6.0,9.0,31.0,2.5,1.5,210.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Beef,0,1,0,0,g,100,126.06,17.35,6.28,0.0,0.0,0.0,74.86,2.97,2.7,2.43,90.0,21.6,14.85,297.0,4.59,4.19,4.05,11.07,11.34,meat
United States,Beef Burger,0,1,0,0,unit,1,325.0,17.0,16.0,29.0,1.5,5.0,720.0,1.78,1.62,1.46,54.0,12.96,8.91,178.2,2.75,2.51,2.43,6.64,6.8,meat
,Beef Curry,0,1,0,0,g,100,230.0,18.0,16.0,4.0,0.5,1.0,320.0,2.97,2.7,2.43,90.0,21.6,14.85,297.0,4.59,4.19,4.05,11.07,11.34,meat
India,Beef Fry,0,1,0,0,g,100,250.0,18.0,18.0,4.0,0.5,1.0,360.0,2.97,2.7,2.43,90.0,21.6,14.85,297.0,4.59,4.19,4.05,11.07,11.34,meat
,Beetroot,1,0,0,0,g,100,35.61,1.95,0.14,6.04,3.31,4.35,69.44,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Beetroot leaves,1,0,0,0,g,100,34.66,2.38,0.75,2.18,3.64,0.13,111.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Beguni,1,0,0,0,unit,1,120.0,2.0,6.0,14.0,1.5,1.0,140.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bekang (Fermented Soybean),0,0,0,1,g,100,150.0,11.0,8.0,10.0,3.0,1.0,170.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Bela Pana,0,0,0,1,ml,100,55.0,0.3,0.0,13.0,0.5,11.0,5.0,0.69,0.63,0.57,31.5,5.04,3.46,69.3,1.07,0.98,0.94,2.58,2.65,general
Belgium,Belgian Waffles,1,0,0,0,unit,1,210.0,4.6,10.0,25.0,0.8,8.0,220.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Bengal gram,1,0,0,0,g,100,308.08,20.16,5.21,39.1,20.18,1.01,23.7,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Berma (Fermented Fish),0,1,0,0,g,100,140.0,16.0,6.0,2.0,0.0,0.5,480.0,2.97,2.7,2.43,90.0,21.6,14.85,297.0,4.59,4.19,4.05,11.07,11.34,meat
India,Besan Masala Roti,1,0,0,0,unit,1,160.0,5.0,4.0,24.0,2.0,1.0,130.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Besan Roti,0,0,0,1,unit,1,140.0,6.0,2.5,21.0,3.0,1.0,140.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Besara,1,0,0,0,g,100,95.0,2.5,5.0,10.0,2.5,1.5,140.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Betel leaves,1,0,0,0,g,100,46.01,2.56,0.75,6.08,2.04,0.39,15.42,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Betki,1,0,0,0,g,100,67.88,15.28,0.29,0.0,0.0,0.0,63.68,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Bhaat (Rice),0,0,0,1,unit,1,180.0,3.0,0.5,40.0,0.6,0.1,5.0,0.2,0.18,0.17,10.8,1.47,1.01,20.2,0.31,0.28,0.28,0.75,0.77,grains
